FC東京.xlsx,市場価値.xlsx,通算対戦成績.xlsx,,objective variable,,,,,explanatory variable,,,,,,,,,,,,,
Basic information,,,,point result,,score result,,,compatibility,,,others,ME,,,,,opponent,,,,
Year,Section,name of me,name of opponent,gain points,lose points,"score(win=3,draw=1,lose=0)","lose=0, not lose=1","not win=0, win=1",mean score(compatibility),mean gain points(compatibility),mean lose points(compatibility),Home/Away,score of last year(me),mean score points in last five games(me),total market value(me),mean age(me),number of foreign people(me),score of last year(opponent),total market value(opponent),mean age(opponent),number of foreign people(opponent),
2019,30,川崎Ｆ,広島,2,1,3,1,1,1.76744186,1.8,1.1,H,69,1.4,1.169689,24.9,5,57,0.868597291,25.3,5,
2019,33,川崎Ｆ,横浜FM,1,4,0,0,0,1.604166667,1.5,1.4,H,69,2.6,1.169689,24.9,5,41,0.885110547,24.2,9,
2020,1,川崎Ｆ,鳥栖,0,0,1,1,0,2,1.9,0.9,H,60,2.4,1.178696606,26.1,5,36,0.659105805,24.4,10,
2020,2,川崎Ｆ,鹿島,2,1,3,1,1,1.551020408,1.6,1.5,H,60,2,1.178696606,26.1,5,63,1.064314821,24.4,5,
2020,4,川崎Ｆ,柏,3,1,3,1,1,1.457142857,1.7,1.7,H,60,2,1.178696606,26.1,5,31,0.914541362,23.9,6,
2020,7,川崎Ｆ,湘南,3,1,3,1,1,1.878787879,2,1,H,60,3,1.178696606,26.1,5,36,0.678596871,23.5,3,
2020,9,川崎Ｆ,大分,2,0,3,1,1,1.5,1.2,1.1,H,60,3,1.178696606,26.1,5,47,0.710398085,24.1,1,
2020,11,川崎Ｆ,Ｃ大阪,5,2,3,1,1,1.428571429,2,1.8,H,60,3,1.178696606,26.1,5,59,1.187416294,23.7,8,
2020,13,川崎Ｆ,清水,5,0,3,1,1,1.567567568,1.8,1.4,H,60,2,1.178696606,26.1,5,39,1.03866868,25,9,
2020,15,川崎Ｆ,神戸,3,2,3,1,1,1.714285714,2.1,1.3,H,60,2,1.178696606,26.1,5,47,1.233579346,24.5,5,
2020,16,川崎Ｆ,広島,5,1,3,1,1,1.76744186,1.8,1.1,H,60,2,1.178696606,26.1,5,55,0.842732169,25.7,4,
2020,18,川崎Ｆ,横浜FC,3,2,3,1,1,2.695652174,2.9,0.9,H,60,3,1.178696606,26.1,5,31,0.471888981,26.9,4,
2020,21,川崎Ｆ,仙台,1,0,3,1,1,2.022727273,2.1,1.2,H,60,3,1.178696606,26.1,5,41,0.883765993,24.8,7,
2020,23,川崎Ｆ,名古屋,3,0,3,1,1,1.925,1.9,1.2,H,60,3,1.178696606,26.1,5,37,1.258199641,24.9,6,
2020,25,川崎Ｆ,FC東京,2,1,3,1,1,1.714285714,1.9,1.3,H,60,3,1.178696606,26.1,5,64,0.938648733,23.7,5,
2020,26,川崎Ｆ,札幌,0,2,0,0,0,2.379310345,2.2,0.7,H,60,3,1.178696606,26.1,5,46,1.005328698,23.9,9,
2020,30,川崎Ｆ,横浜FM,3,1,3,1,1,1.604166667,1.5,1.4,H,60,2,1.178696606,26.1,5,70,1.297694697,23,7,
2020,29,川崎Ｆ,Ｇ大阪,5,0,3,1,1,1.422222222,1.8,1.8,H,60,1.4,1.178696606,26.1,5,47,1.074573277,23.9,7,
2020,33,川崎Ｆ,浦和,3,1,3,1,1,1.466666667,1.6,1.4,H,60,1.6,1.178696606,26.1,5,37,1.561849942,25.3,6,
2021,1,川崎Ｆ,横浜FM,2,0,3,1,1,1.604166667,1.5,1.4,H,83,2.2,1.398245117,27.1,5,47,1.242255559,26.5,5,
2021,11,川崎Ｆ,Ｃ大阪,3,2,3,1,1,1.428571429,2,1.8,H,83,2.2,1.398245117,27.1,5,60,1.235336667,26.5,5,
2021,3,川崎Ｆ,徳島,2,0,3,1,1,3,3.3,0.5,H,83,3,1.398245117,27.1,5,27,0.917067648,25.8,4,
2021,4,川崎Ｆ,柏,1,0,3,1,1,1.457142857,1.7,1.7,H,83,3,1.398245117,27.1,5,52,1.187533415,26,9,
2021,7,川崎Ｆ,大分,2,0,3,1,1,1.5,1.2,1.1,H,83,2.6,1.398245117,27.1,5,43,0.671761487,26.4,2,
